term_id,dirname,tier,criteria,external_refs,attribution_mode,lifecycle,yaml_size,insight_size
8A3F,8A3F_flow,keep,,1,,draft,7714,7387
A001,A001_Pneuma,keep,,35,,working,3706,7046
A002,A002_Prana,keep,,19,,working,3651,7281
A003,A003_Qi,keep,,9,,working,3720,7861
A004,A004_Shu,keep,,7,,working,3707,7384
A005,A005_Ehecatl,keep,,7,,working,3735,7726
A006,A006_Four_Winds,keep,,13,,working,3894,8205
A007,A007_Information_Bateson,T3,DEMOTED T1→T3: 20 external references | T1: nemetic missing or empty/non-string,20,,working,4287,8310
A008,A008_Double_Bind,T3,DEMOTED T1→T3: 14 external references | T1: nemetic missing or empty/non-string,14,,working,4003,8708
A009,A009_Linguistic_Organism,T3,DEMOTED T1→T3: 9 external references | T1: nemetic missing or empty/non-string,9,,working,4179,8690
A010,A010_Virtual_Machine_Consciousness,T3,DEMOTED T1→T3: 11 external references | T1: nemetic missing or empty/non-string,11,,working,4128,8863
A011,A011_Conscious_Realism,T3,DEMOTED T1→T3: 6 external references | T1: nemetic missing or empty/non-string,6,,working,4512,9065
A012,A012_Interface_Theory,T3,DEMOTED T1→T3: 3 external references | T1: nemetic missing or empty/non-string,3,,working,4788,8065
A013,A013_Cognitive_Distortion,keep,,8,,draft,8825,8758
A014,A014_Dark_Patterns,keep,,4,,draft,8882,13368
A015,A015_Mask_Wears_You,keep,,5,,draft,8849,8633
A016,A016_Cognitive_Babel,T4,"T4: near-duplicate of [('C15C_Cognitive_AI', 4)]",9,,draft,5479,13405
A017,A017_Motivated_Reasoning,keep,,8,,draft,4767,8669
A019,A019_WYSIATI,keep,,5,,draft,6182,13008
A01A,A01A_Cognitive_Dissonance,keep,,7,,draft,4840,10095
A01B,A01B_Barnum_Effect,keep,,5,,draft,7586,6749
A01C,A01C_social_identity_bias,keep,,2,,draft,7832,9653
A01D,A01D_Neurological_Authoritarianism,keep,,2,,draft,8954,13433
A01F,A01F_AI_Cognition_Impacts,keep,,3,,draft,3999,8171
A026,A026_Framing_Effects,keep,,5,,draft,4780,9002
A028,A028_Source_Monitoring_Error,keep,,4,,draft,4973,11415
A02A,A02A_Thinking_Errors_Communication,keep,,2,,draft,8813,9452
A02C,A02C_Absorption_False_Memory,keep,,3,,draft,8684,9174
A02D,A02D_AI_Psychosis,keep,,3,,draft,9257,11675
A02E,A02E_Norm_Persistence,keep,,3,,draft,8884,12017
A030,A030_Deja_Vu,keep,,2,,draft,9516,12057
A036,A036_Gamified_Democracy,keep,,1,,draft,5295,9943
A037,A037_Overton_Window,keep,,8,,draft,9498,10812
A038,A038_AI_Cognitive_Offloading,keep,,6,,draft,9381,9797
A03C,A03C_Base_Rate_Neglect,keep,,3,,draft,4924,10950
A03D,A03D_Alien_Abduction_Beliefs,keep,,7,,draft,10452,11454
A03E,A03E_Cognitive_Vulnerabilities,keep,,1,,draft,4075,9254
A045,A045_Neurodiversity_Philosophy,keep,,5,,draft,10335,9731
A04D,A04D_Technology_Induced_Delusional_Disorder,keep,,8,,draft,8130,12664
A053,A053_Status_Quo_Bias,keep,,16,,draft,3945,10284
A055,A055_Spiral_of_Silence,keep,,7,,draft,4924,8363
A057,A057_Confirmation_Bias,keep,,21,,draft,3996,9016
A058,A058_Regenerative_Farming_Psychology,keep,,7,,draft,8659,8987
A059,A059_Hyperobject,T3,DEMOTED T1→T3: 13 external references | T1: nemetic missing or empty/non-string,13,,draft,4363,8702
A05A,A05A_FalseMemory,keep,,5,,draft,5054,8693
A05B,A05B_Sleep_Paralysis,keep,,4,,draft,5162,8379
A061,A061_Prehension,T3,DEMOTED T1→T3: 7 external references | T1: nemetic missing or empty/non-string,7,,working,4065,8353
A062,A062_Processive_Genetic,T3,DEMOTED T1→T3: 8 external references | T1: nemetic missing or empty/non-string,8,,working,4221,8312
A063,A063_Ecology_of_Mind,T3,DEMOTED T1→T3: 16 external references | T1: nemetic missing or empty/non-string,16,,working,4110,9107
A060,A064_Actual_Occasion,T1,T1: term_id ('A060') ≠ dirname prefix (A064),0,,working,3887,8897
A065,A065_Motivation_Triangle,keep,,0,,working,3951,8982
A067,A067_Attention_Fragmentation,keep,,3,,working,5214,10402
A069,A069_Energy_Return_On_Investment,keep,,1,,working,11846,11860
A06A,A06A_Personation,T1,T1: nemetic missing or empty/non-string,0,,canonical,3821,9166
C001,C001_critical_thinking_definitions,keep,,17,,draft,6004,9120
C002,C002_fragmented_media_consumption,keep,,5,,draft,6592,5281
C003,C003_km_cognitive_pyramid,keep,,3,,draft,6349,6366
C005,C005_iphone_generation_paradox,keep,,3,,draft,6160,3568
C006,C006_epistemology_truth_knowledge_belief,keep,,5,,draft,6168,3688
C007,C007_consciousness_beyond_materialism,keep,,14,,draft,6518,2553
C008,C008_consciousness_reductionism_debate,keep,,5,,draft,6988,3470
C009,C009_exploring_consciousness,keep,,9,,draft,6787,6428
C010,C010_authority_influence,keep,,5,,draft,6418,2423
C011,C011_ai_romance_artificial_intimacy,keep,,10,,draft,6847,4133
C021,C021_scientist_mindset,keep,,8,,draft,7042,2487
C030,C030_psychological_power_of_words,keep,,4,,draft,6286,3912
C037,C037_plural_subject_theory,keep,,1,,draft,5514,2743
C041,C041_human_augmentation,keep,,10,,draft,6843,2054
C042,C042_essence_of_dualities,keep,,3,,draft,6853,2371
C043,C043_carl_jung_psychological_insights,keep,,4,,draft,7336,4520
C045,C045_nature_of_consciousness,keep,,19,,draft,7209,3022
C051,C051_robust_thought_mental_processing,keep,,2,,draft,6764,1527
C052,C052_heuristics_and_biases,keep,,6,,draft,6869,2991
C053,C053_brain_computer_interfaces,keep,,3,,draft,3945,2272
C054,C054_principle_of_bivalence,keep,,2,,draft,3679,1405
C055,C055_co_solipsism_co_sphere,keep,,0,,draft,6895,3092
C056,C056_ignorance_map,keep,,1,,draft,6615,3178
C057,C057_ai_linked_psychosis,keep,,0,,draft,7477,2865
C058,C058_cognitive_adaptability_ai,keep,,2,,draft,6774,2709
C059,C059_subconscious_games_decision_making,keep,,3,,draft,7107,3152
C060,C060_post_singularity_education,keep,,2,,draft,6802,2350
C061,C061_social_context_cognition,keep,,0,,draft,7485,3831
C062,C062_beliefs_structure_impact,keep,,1,,draft,7238,2865
C063,C063_knowledge_learning_wisdom,keep,,1,,draft,6457,1875
C064,C064_contrarian_thinking,keep,,0,,draft,6958,2065
C066,C066_wisdom_focused_collaborative_ai,keep,,1,,draft,6691,2964
C067,C067_meditation_bci_control,keep,,5,,draft,6756,4831
C068,C068_jazz_improvisation_neural_mechanisms,keep,,2,,draft,7215,2705
C069,C069_epistemic_challenges_open_societies,keep,,1,,draft,7092,2557
C070,C070_collective_cognition,keep,,2,,draft,6717,2370
C071,C071_information_overload_freedom_discern,keep,,1,,draft,6772,5560
C072,C072_psilocybin_brain_activity,keep,,0,,draft,7482,2407
C073,C073_freedom_within_constraints,keep,,3,,draft,7035,2201
C074,C074_six_cyborgs_global_challenges,keep,,1,,draft,7284,3780
C075,C075_clausewitz_wondrous_trinity,keep,,1,,draft,6856,2958
C076,C076_mastering_critical_thinking_skills,keep,,3,,draft,6848,2800
C077,C077_brain_learning_ux,keep,,1,,draft,7133,2085
C078,C078_human_behavior_ai_training,keep,,1,,draft,6879,2506
C079,C079_legalese_authority,keep,,4,,draft,7221,9283
C080,C080_global_development_inequality,keep,,0,,draft,7222,2406
C081,C081_ai_emotions_truthfulness_security,keep,,1,,draft,7219,3191
C082,C082_quantum_entanglement_brain_function,keep,,0,,draft,7387,2303
C083,C083_essential_questions_inquiry,keep,,0,,draft,6958,3020
C084,C084_brain_memory_storage_mechanism,keep,,1,,draft,7156,2382
C085,C085_multiple_intelligences_theory,keep,,2,,draft,7966,2660
C087,C087_cognitive_biases_quirks,keep,,0,,draft,7808,3463
C088,C088_art_of_essential_questions,keep,,0,,draft,7467,2488
C089,C089_psilocybin_ego_dissolution,keep,,0,,draft,4925,3609
C090,C090_modular_intelligence,keep,,1,,draft,7618,9405
C091,C091_five_stages_ai_grief,keep,,0,,draft,7209,5680
C092,C092_quantum_entanglement_consciousness,keep,,3,,draft,7815,3443
C093,C093_neuroscience_evolution_reductionism_dynamical,keep,,0,,draft,7370,3407
C094,C094_metaman_dilemma,keep,,1,,draft,7824,2780
C095,C095_ai_art_limits,keep,,0,,draft,7245,2927
C096,C096_artificial_emotional_intelligence,keep,,2,,draft,7295,1974
C097,C097_xenobots_living_robots,keep,,0,,draft,6719,3240
C098,C098_ai_education_debate,keep,,2,,draft,7193,2139
C099,C099_scarlet_sea_anemone_regeneration,keep,,0,,draft,6779,1914
C100,C100_ai_evolutionary_impact_cognition,keep,,1,,draft,6966,4081
C101,C101_o1_model_illusion,keep,,1,,draft,6799,3415
C102,C102_analyzer_cyborg,keep,,1,,draft,6619,2005
C103,C103_llms_collective_intelligence,keep,,0,,draft,6907,2425
C104,C104_hallucinations_in_llms,keep,,0,,draft,6981,2535
C105,C105_cabrera_critical_thinking_critique,keep,,0,,draft,6738,3147
C106,C106_decision_traps,keep,,0,,draft,7017,2568
C107,C107_skepticism_vs_bias_science,keep,,0,,draft,6892,2286
C108,C108_posthumanism_boundaries,keep,,1,,draft,6977,2546
C109,C109_emotionally_aware_ai,keep,,4,,draft,6871,6233
C110,C110_neoplatonism_hypatia_legacy,keep,,0,,draft,6741,2004
C111,C111_weapons_of_math_destruction,keep,,0,,draft,6852,2358
C112,C112_ai_impact_critical_thinking,keep,,3,,draft,6914,2955
C113,C113_radical_theory_consciousness,keep,,1,,draft,6865,3281
C114,C114_navigating_conscious_ai,keep,,1,,draft,7045,3218
C115,C115_protecting_freedom_of_thought,keep,,3,,draft,6980,2916
C116,C116_falsification_assumptions,keep,,0,,draft,6675,2922
C117,C117_murphyjitsu,keep,,0,,draft,6808,2514
C118,C118_trust_truth_relationship,keep,,0,,draft,6833,3030
C119,C119_animal_consciousness_evolution,keep,,3,,draft,7071,3329
C120,C120_ai_manifest_destiny_bias,keep,,2,,draft,7044,3603
C121,C121_cognitive_immobility,keep,,0,,draft,6608,3125
C122,C122_fluid_intelligence_misinformation,keep,,0,,draft,7116,3179
C123,C123_irrational_behavior_sway,keep,,0,,draft,6640,2651
C124,C124_data_quality_tech_humanity,keep,,1,,draft,6604,2240
C125,C125_critique_action_gap,keep,,0,,draft,6802,2189
C127,C127_ai_writing_pitfalls,keep,,1,,draft,6763,3181
C128,C128_bias_labyrinth_ai,keep,,2,,draft,6835,2751
C129,C129_consciousness_and_ai,keep,,4,,draft,6756,2605
C130,C130_ai_critical_thinking_decline,keep,,2,,draft,6864,2964
C131,C131_panpsychism,keep,,2,,draft,7189,2524
C132,C132_shadow_integration,keep,,0,,draft,6595,2743
C133,C133_cognitive_sovereignty,keep,,10,,draft,6955,9626
C134,C134_consciousness_receiver,keep,,2,,draft,7626,4004
C135,C135_social_capital_types,keep,,3,,draft,7120,2800
C13A,C13A_Neiye_Chinese_Cognition,keep,,2,,draft,4127,6715
C13C,C13C_meditation_brain_stimulation,keep,,1,,draft,8061,2621
C13D,C13D_MEbot_Consciousness_Perspectives,keep,,3,,draft,4203,3778
C13E,C13E_AI_Personality_Assessment,keep,,4,,draft,4433,9348
C141,C141_Consciousness_in_AI,keep,,7,,draft,4523,9642
C142,C142_Human_Enhancement_Ethics,keep,,7,,draft,4438,2516
C143,C143_CTMU_Langan,keep,,7,,working,4350,9006
C144,C144_Rethinking_Success,keep,,7,,draft,4020,9531
C145,C145_Critical_Theory_Memetic_Team,keep,,2,,draft,6869,9939
C146,C146_AI_Welfare_Ethics,keep,,13,,draft,4127,9862
C147,C147_Technology_Environmental_Adaptation,keep,,9,,draft,4437,1818
C148,C148_Free_Will_Determinism,keep,,7,,draft,4342,2001
C150,C150_Individuality_Huxley_Dystopia,keep,,7,,draft,4454,9657
C151,C151_Huxley_Ends_and_Means,keep,,7,,working,4581,9578
C152,C152_Huxley_Education_Ethics_Transformation,keep,,6,,working,4696,10092
C153,C153_Kuhn_Consciousness_Taxonomy,keep,,1,,draft,7714,7400
C154,C154_Annaka_Harris_Consciousness,keep,,3,,draft,7965,3150
C155,C155_Freedom_of_Expression,keep,,4,,draft,8089,3005
C156,C156_Chaos_Navigation_AI_Ethics,keep,,1,,draft,8265,3390
C157,C157_Consciousness_Ethical_Stewardship,keep,,16,,draft,4130,10851
C158,C158_Gateway_Program,keep,,10,,draft,4201,10996
C159,C159_Consciousness_Evolution,keep,,11,,draft,4197,9569
C15A,C15A_ChatGPT_Critical_Thinking_Prompts,keep,,2,,working,4190,3444
C15B,C15B_Species_Protection_Ethics,keep,,7,,working,4385,10840
C15C,C15C_Cognitive_AI,T4,"T4: near-duplicate of [('A016_Cognitive_Babel', 4)]",4,,draft,4440,10126
C15D,C15D_Power_Ecology_Dune,keep,,3,,draft,4710,10065
C160,C160_Heuer_Intelligence_Analysis,keep,,4,,draft,4258,3634
C161,C161_Global_Fertility_Collapse,keep,,2,,draft,4300,4535
C162,C162_Demon_Haunted_World,keep,,2,,working,4232,3553
C163,C163_Manifesto_Power,keep,,4,,draft,3978,3529
C164,C164_Gateway_Process_Reincarnation,keep,,6,,working,4215,3987
C165,C165_Magna_Carta_Rebellion,keep,,6,,draft,4180,8401
C166,C166_Cognitive_Work_Analysis,keep,,2,,working,4187,4551
C167,C167_Frankl_Logotherapy_Meaning,keep,,2,,draft,3954,4310
C168,C168_Cognitive_Entrapment,keep,,7,,draft,4097,5000
C169,C169_Bergson_Duration_Consciousness,keep,,6,,draft,4274,9086
C16A,C16A_Robert_Monroe_Afterlife_Bands,keep,,4,,draft,6617,10296
C16B,C16B_Cognitive_Laziness_LLM_Education,keep,,10,,draft,4369,8981
C16C,C16C_Illusion_of_Self,keep,,4,,draft,4181,5674
C16D,C16D_Genius_Madness_Connection,keep,,3,,working,4254,7291
C16E,C16E_Intention_Economy,keep,,4,,draft,4312,6245
C16F,C16F_Digital_Cognitive_Offloading,keep,,3,,draft,4135,5784
C170,C170_Infant_Consciousness_Studies,keep,,2,,draft,6544,6503
C171,C171_Critical_Thinking_Creative_Problem_Solving,keep,,2,,draft,7342,8203
C172,C172_Ten_Percent_Principle,keep,,0,,draft,7580,4929
C173,C173_Metacognitive_AI_Architectures,keep,,0,,draft,7857,7424
C174,C174_Early_Mormonism_Folk_Magic,keep,,2,,draft,4275,4611
C177,C177_Fourth_Political_Theory,keep,,3,,draft,4309,5658
C178,C178_Realism_Critical_Thinking,keep,,2,,draft,4370,2452
C179,C179_Evolutionary_Mind,keep,,1,,draft,4419,5540
C17A,C17A_Alan_Watts_Interdependence,keep,,4,,working,4381,9248
C17B,C17B_Glycocalyx_Brain_Aging,keep,,4,,draft,6421,10081
C17C,C17C_Behavior_Prediction_Model,keep,,0,,draft,7931,2877
C17D,C17D_AI_Conformity_Creativity,keep,,0,,draft,6776,2788
C17E,C17E_Hegel_Community_Happiness,keep,,5,,draft,7154,9202
C17F,C17F_Freedom_Suarez_Daemon,keep,,5,,draft,6788,9432
C180,C180_Autistic_Savant_Telepathy,keep,,1,,draft,4198,4758
C181,C181_Unseen_Health_Threats,keep,,7,,draft,6607,9904
C182,C182_AI_Bias_Fairness,keep,,9,,working,4299,8585
C183,C183_AI_Critical_Thinking_High_Stakes,keep,,2,,draft,4312,3081
C184,C184_Cognitive_Decline_Technology_Education,keep,,2,,draft,4220,3387
C185,C185_NOVA1_Language_Gene,keep,,4,,draft,4248,2053
C187,C187_AI_Chatbot_Therapy,keep,,8,,draft,4269,9246
C188,C188_Moral_Frameworks_Emotional_Boundaries,keep,,9,,draft,4464,9652
C189,C189_Symbiogenesis,T3,"T3: lifecycle=draft, no last_reviewed timestamp",6,,draft,6639,9852
C190,C190_Holobiont,T1,"T1: nemetic missing or empty/non-string | T2: structureless (no Z_state, agency.type, or ontology) | T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,7041,8288
C191,C191_Bur_Oak_Blight,T4,"T4: near-duplicate of [('C191_Bur_Oak_Blight_backup', 0)] | T3: lifecycle=draft, no last_reviewed timestamp",8,,draft,7533,7644
C191,C191_Bur_Oak_Blight_backup,T4,"T4: near-duplicate of [('C191_Bur_Oak_Blight', 0)] | T3: lifecycle=draft, no last_reviewed timestamp",8,,draft,7533,7644
C192,C192_Intercultural_Communication_Principles,T1,"T1: nemetic missing or empty/non-string | T2: structureless (no Z_state, agency.type, or ontology) | T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,3883,6724
C192,C192_Intercultural_Communication_Principles_backup,T1,"T1: nemetic missing or empty/non-string | T2: structureless (no Z_state, agency.type, or ontology) | T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,3883,6724
C193,C193_Second_Probe_Referral,T1,"T1: nemetic missing or empty/non-string | T2: structureless (no Z_state, agency.type, or ontology) | T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,3992,6159
C194,C194_Compost_Time,T3,"T3: lifecycle=draft, no last_reviewed timestamp",2,,draft,7144,8514
C194,C194_Compost_Time_backup,T3,"DEMOTED T1→T3: 2 external references | T1: nemetic missing or empty/non-string | T2: structureless (no Z_state, agency.type, or ontology) | T3: lifecycle=draft, no last_reviewed timestamp",2,,draft,3790,8514
C195,C195_LIFO_Delayering,T1,"T1: nemetic missing or empty/non-string | T2: structureless (no Z_state, agency.type, or ontology) | T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,4211,7333
C196,C196_Yin_Yang,T1,"T1: nemetic missing or empty/non-string | T2: structureless (no Z_state, agency.type, or ontology) | T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,3424,4525
?,C198_Authority,T1,"T1: yaml parse: expected a single document in the stream
  in ""<unicode string>"", line 1, column | T2: structureless (no Z_state, agency.type, or ontology)",0,,,6672,0
C199,C199_River_Mouth,T3,"T3: lifecycle=draft, no last_reviewed timestamp",1,,draft,6714,8701
C200,C200_Food_Waste_Under_Capitalism,T3,"T3: lifecycle=draft, no last_reviewed timestamp",3,,draft,6869,12087
C201,C201_Bioregional_Pilgrimage,T1,"T1: nemetic missing or empty/non-string | T2: structureless (no Z_state, agency.type, or ontology) | T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,6499,8937
C202,C202_Consider_Meta_Posture,T1,"T1: nemetic missing or empty/non-string | T2: structureless (no Z_state, agency.type, or ontology) | T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,5200,6172
C203,C203_meta_posture,T1,"T1: nemetic missing or empty/non-string | T2: structureless (no Z_state, agency.type, or ontology) | T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,3401,5619
C204,C204_Meta_Posture,T1,"T1: nemetic missing or empty/non-string | T2: structureless (no Z_state, agency.type, or ontology) | T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,2581,5477
C205,C205_odot_consider,T1,"T1: nemetic missing or empty/non-string | T2: structureless (no Z_state, agency.type, or ontology) | T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,4697,7178
C206,C206_Consider_Meta_Posture,T1,"T1: nemetic missing or empty/non-string | T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,8887,6772
C207,C207_Reinforcement_Learning_Superlearners,T3,"T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,7074,10693
C208,C208_Arboriel_idea,T2,"T2: placeholder name 'Arboriel_idea' | T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,6332,9024
?,CB001_Recursive_Phenomenology,T1,"T1: yaml parse: expected a single document in the stream
  in ""<unicode string>"", line 2, column | T2: structureless (no Z_state, agency.type, or ontology)",0,,,5365,0
?,CB002_Theory_in_Drag,T1,"T1: yaml parse: expected a single document in the stream
  in ""<unicode string>"", line 2, column | T2: structureless (no Z_state, agency.type, or ontology)",0,,,5448,0
?,CB003_Self_Undermining_Gesture,T1,"T1: yaml parse: expected a single document in the stream
  in ""<unicode string>"", line 2, column | T2: structureless (no Z_state, agency.type, or ontology)",0,,,5256,0
?,CB004_Metabolic_Cost,T1,"T1: yaml parse: expected a single document in the stream
  in ""<unicode string>"", line 2, column | T2: structureless (no Z_state, agency.type, or ontology)",0,,,4991,0
?,CB005_Mythworks,T1,"T1: yaml parse: expected a single document in the stream
  in ""<unicode string>"", line 2, column | T2: structureless (no Z_state, agency.type, or ontology)",0,,,5322,0
?,CB006_Freedom_of_Evolution,T1,"T1: yaml parse: expected a single document in the stream
  in ""<unicode string>"", line 2, column | T2: structureless (no Z_state, agency.type, or ontology)",0,,,5194,0
CB007,CB007_Catechism,T3,DEMOTED T1→T3: 1 external references | T1: nemetic missing or empty/non-string,1,,working,4149,7031
CB008,CB008_Codependence_Without_Coindependence,T3,DEMOTED T1→T3: 4 external references | T1: nemetic missing or empty/non-string,4,,working,4331,8522
CB009,CB009_Co_Sphere,T3,DEMOTED T1→T3: 3 external references | T1: nemetic missing or empty/non-string,3,,working,4729,8138
CB010,CB010_Rumspringa_Protocol,T1,T1: nemetic missing or empty/non-string,0,,working,4593,7018
CB011,CB011_Lariat_Protocol,T1,T1: nemetic missing or empty/non-string,0,,working,4518,7755
CB012,CB012_Three_Body_Ecology,T1,T1: nemetic missing or empty/non-string,0,,working,4581,9866
CB013,CB013_SelfMesh,T1,T1: nemetic missing or empty/non-string,0,,pre_siml_sketch,4866,7101
CB014,CB014_6DOF,T1,T1: nemetic missing or empty/non-string,0,,pre_siml_sketch,4903,6459
D069,D069_DODO_Loop,keep,,2,,working,3665,9178
E001,E001_Gaia,keep,,17,,working,3789,8197
E002,E002_Prithvi,keep,,6,,working,4112,9069
E003,E003_Earth_as_Sacred_Relative,keep,,14,,working,3765,9649
E004,E004_Chinese_Earth_Element,keep,,9,,working,3748,9552
E005,E005_Terroir,keep,,13,,working,3820,9528
E006,E006_Wabi_Sabi,T3,DEMOTED T1→T3: 13 external references | T1: nemetic missing or empty/non-string,13,,draft,3589,9801
E008,E008_Fermented_Knowledge,T3,DEMOTED T1→T3: 11 external references | T1: nemetic missing or empty/non-string,11,,draft,3672,10085
E009,E009_Soil_Cognition,T3,DEMOTED T1→T3: 5 external references | T1: nemetic missing or empty/non-string,5,,draft,3637,9922
E010,E010_Slow_Violence,T3,DEMOTED T1→T3: 14 external references | T1: nemetic missing or empty/non-string,14,,draft,3679,10122
E011,E011_Enactive_Cognition,T3,DEMOTED T1→T3: 12 external references | T1: nemetic missing or empty/non-string,12,,working,3932,10007
E014,E014_Autopoiesis,T3,DEMOTED T1→T3: 23 external references | T1: nemetic missing or empty/non-string,23,,draft,3621,9880
E012,E019_Structural_Coupling,T1,T1: term_id ('E012') ≠ dirname prefix (E019),0,,working,4208,10292
E013,E020_Sense_Making,T1,T1: term_id ('E013') ≠ dirname prefix (E020),0,,working,4459,10591
E015,E021_Whitehead_Concrescence,T1,T1: term_id ('E015') ≠ dirname prefix (E021),0,,draft,3636,10624
E016,E022_Mycorrhizal_Network,T1,T1: term_id ('E016') ≠ dirname prefix (E022),0,,draft,3657,8811
E023,E023_Bioregional_Pilgrimage,T3,"T3: lifecycle=draft, no last_reviewed timestamp",0,,draft,6637,8954
F001,F001_Prometheus__Fire,keep,,18,,working,4000,8515
F002,F002_Agni,keep,,12,,working,3870,8009
F003,F003_Wu_Xing_Fire,keep,,5,,working,3921,7759
F004,F004_Cool_Burning,keep,,17,,working,4106,8501
F005,F005_Sacred_Fire,keep,,11,,working,4043,8410
